method_id,feature,op,threshold,pre_score,holdout_base_n,holdout_base_roi,removed_wins,removed_losses,safe_n,safe_roi,roi_change,loss_rate_change,confirmed
NFL-H019,adv_hc_prior_games_current_stint,<=,-7.0,1.053054512516469,33,0.29363636363636364,9,9,15,0.3433333333333334,0.04969696969696974,-0.018181818181818188,False
NFL-H019,adv_hc_prior_games_current_stint,<=,-0.15000000000000036,0.9389986157105723,33,0.29363636363636364,9,9,15,0.3433333333333334,0.04969696969696974,-0.018181818181818188,False
NFL-H027,dc_prior_games,>=,74.5,0.5931172624471696,43,0.22906976744186044,3,4,36,0.27666666666666667,0.04759689922480623,-0.016149870801033583,False
NFL-H091,hc_prior_games_current_stint,>=,29.5,1.1852551566080978,37,0.12810810810810808,7,9,21,0.17380952380952383,0.045701415701415754,-0.016731016731016735,False
NFL-H080,oc_prior_win_pct,<=,0.4719840478564307,0.3706174242424244,29,0.1617241379310345,5,6,18,0.2055555555555556,0.04383141762452111,-0.01724137931034475,False
NFL-H079,adv_oc_prior_games,>=,38.0,0.7529803100829124,93,0.1241935483870968,4,8,81,0.16790123456790126,0.043707686180804464,-0.017522899243329282,False
NFL-H035,adv_hc_prior_games_current_stint,>=,1.0,0.5649656995051734,52,0.15423076923076923,8,10,34,0.1976470588235294,0.04341628959276017,-0.019230769230769162,False
NFL-H017,adv_hc_prior_games_current_stint,>=,1.0,0.6708054740957967,102,0.18235294117647058,15,17,70,0.2248571428571429,0.042504201680672316,-0.014285714285714235,False
NFL-H005,dc_prior_win_pct,<=,0.4964788732394366,0.5837977839590226,41,0.3602439024390244,8,7,26,0.40269230769230774,0.04244840525328336,-0.015947467166979257,False
NFL-H015,adv_hc_tenure_seasons,<=,-2.0,0.7191937984496123,30,0.3353333333333333,6,6,18,0.37777777777777777,0.04244444444444445,-0.022222222222222254,False
NFL-H096,adv_dc_prior_role_seasons,<=,-3.0,1.3499880952380952,31,0.11580645161290325,1,2,28,0.1582142857142857,0.04240783410138245,-0.016129032258064502,False
NFL-H022,adv_hc_tenure_seasons,>=,1.0,0.7902383226067435,40,0.21100000000000002,6,7,27,0.25296296296296295,0.041962962962962924,-0.01851851851851849,False
NFL-H006,adv_hc_changed_season,<=,-0.15000000000000036,0.9133364014373756,76,0.2681578947368421,10,11,55,0.3096363636363636,0.0414784688995215,-0.01411483253588508,False
NFL-H008,oc_prior_games,>=,64.30000000000001,0.5547615629984051,64,0.24453125000000003,5,7,52,0.28365384615384615,0.03912259615384611,-0.019230769230769273,False
NFL-H003,adv_dc_prior_games,>=,37.2,0.9123253230846547,43,0.43744186046511624,4,4,35,0.4759999999999999,0.038558139534883684,-0.018604651162790642,False
NFL-H017,adv_staff_change_count,>=,1.0,0.6157121360452399,102,0.18235294117647058,5,8,89,0.22089887640449443,0.03854593522802385,-0.016853932584269704,False
NFL-H017,adv_major_staff_changes,>=,1.0,0.6157121360452399,102,0.18235294117647058,5,8,89,0.22089887640449443,0.03854593522802385,-0.016853932584269704,False
NFL-H020,oc_prior_role_seasons,>=,3.75,1.0176620209059233,34,0.26676470588235296,1,2,31,0.30322580645161284,0.036461100569259886,-0.016129032258064502,False
