method_id,depth,features,pre_roi,pre_improvement,pre_retained,score
US004,2,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:rank_edge_off_epa <= -7.0,0.4036550550026191,0.1273107662095157,0.7166666666666667,0.3929883883359524
US004,2,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.390516917293233,0.1141726285001296,0.6944444444444444,0.3794058061821219
US004,2,FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417 | FEATURE:rank_edge_fg_accuracy <= -12.5,0.4338383561643835,0.15749406737128008,0.6833333333333333,0.4225050228310501
US004,2,FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417 | FEATURE:rank_edge_off_epa <= -7.0,0.41840188014101054,0.14205759134790713,0.6666666666666666,0.4067352134743438
US004,2,FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.4270679102302536,0.15072362143715018,0.6666666666666666,0.4154012435635869
US004,2,FEATURE:rank_edge_fg_accuracy <= -12.5 | FEATURE:rank_edge_off_epa <= -7.0,0.38684507042253524,0.11050078162943183,0.6444444444444445,0.3747339593114241
US004,2,FEATURE:rank_edge_fg_accuracy <= -12.5 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.4166805635422657,0.14033627474916227,0.6722222222222223,0.4051250079867101
US004,2,FEATURE:rank_edge_off_epa <= -7.0 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.4134619078104993,0.1371176190173959,0.6388888888888888,0.40123968558827705
US004,3,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_passing_cpoe <= -3.7346978184657593 | FEATURE:recent_edge_off_epa <= -7.938712332596935,0.4894807692307692,0.2131364804376658,0.5833333333333334,0.4511474358974359
US004,3,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:rank_edge_off_epa <= -7.0,0.5014107142857143,0.22506642549261086,0.6111111111111112,0.4636329365079365
US004,3,FEATURE:rank_edge_passing_cpoe <= -9.0 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417 | FEATURE:rank_edge_off_epa <= -7.0,0.48428571428571426,0.20794142549261085,0.5833333333333334,0.44595238095238093
US004,3,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:recent_edge_def_allowed_pass_epa_per_dropback >= 0.1877450644570417 | FEATURE:rank_edge_off_epa <= -7.0,0.48008053221288516,0.20373624341978175,0.6111111111111112,0.4423027544351074
US004,3,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:rank_edge_fg_accuracy <= -12.5 | FEATURE:rank_edge_off_epa <= -7.0,0.4539734848484848,0.1776291960553814,0.5888888888888889,0.4157512626262626
US004,3,FEATURE:recent_edge_off_epa <= -7.938712332596935 | FEATURE:rank_edge_off_epa <= -7.0 | FEATURE:recent_edge_giveaway_rate <= -0.016206011594845,0.4430735294117647,0.1667292406186613,0.6,0.4050735294117647
US005,1,FEATURE:rank_edge_sack_rate_allowed >= 14.0,0.4519337606837607,0.20182860395979707,0.620253164556962,0.4643388239748999
